,Date_Reported,EventID,CaseID,Offense_Category,Offense_Description,Initial_Incident_Category,Initial_Incident_Description,Final_Incident_Category,Final_Incident_Description,Date_From,Date_To,Location,Location_Type,Disposition
19,2024-02-05 19:49,24-02-05-039775,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-05 19:49,2024-02-05 19:49,3000 Block Of  ROYAL ST,Non-campus building or property,CANCELLED EVENT
20,2024-02-05 17:05,24-02-05-039645,,,,THEFT-PETTY,Shoplifting,THEFT-PETTY,Shoplifting,2024-02-05 17:05,2024-02-05 17:05,FABLETICS,On Campus,REQUEST COMPLETED
21,2024-02-05 16:39,24-02-05-039614,,,,TRESPASS,Trespassing,TRESPASS,Trespassing,2024-02-05 16:39,2024-02-05 16:39,800 Block Of  32ND ST,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
22,2024-02-05 16:15,24-02-05-039593,2400572,THEFT-PETTY,Theft of Lost Property,THEFT-PETTY,Theft of Lost Property,THEFT-PETTY,Theft of Lost Property,2024-02-04 17:15,2024-02-04 17:30,THOMAS & DOROTHY LEAVEY LIBRARY,On Campus,Open
23,2024-02-05 15:17,24-02-05-039538,2400571,SERVICE,Injury Response,OFFICER STATUS,Out for Investigation,SERVICE,Incident Report - No Crime,2024-02-05 15:10,2024-02-05 15:10,2700 Block Of  SEVERANCE ST,Non-campus building or property,CLOSED
24,2024-02-05 14:16,24-02-05-039463,2400569,FIRE,Alarm Activation,FIRE,Alarm Activation,FIRE,Alarm Activation,2024-02-05 14:16,2024-02-05 14:16,MARK TAPER HALL OF HUMANITIES,On Campus,Open
25,2024-02-05 13:04,24-02-05-039383,2400568,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2024-02-05 12:00,2024-02-05 12:00,HEDCO NEUROSCIENCES BUILDING,On Campus,Open
26,2024-02-05 12:31,24-02-05-039361,2400567,THEFT-GRAND,Theft Bicycle,THEFT-GRAND,Theft Bicycle,THEFT-GRAND,Theft Bicycle,2024-02-04 14:00,2024-02-05 12:00,700 Block Of  27TH ST,Non-reportable location,Open
27,2024-02-05 12:10,24-02-05-039341,2400570,SERVICE,Welfare Check,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,2024-02-05 12:10,2024-02-05 12:10,OUTSIDE USC AREA,Non-reportable location,Open
28,2024-02-05 09:38,24-02-05-039223,2400566,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,BURGLARY-MOTOR VEHICLE,Burglary-Motor Vehicle,2024-02-04 22:00,2024-02-05 05:00,800 Block Of  30TH ST,Non-reportable location,Open
29,2024-02-05 09:36,24-02-05-039221,2400565,FIRE,Alarm Activation,FIRE,Alarm Activation,FIRE,Alarm Activation,2024-02-05 09:36,2024-02-05 09:36,JOHN E. BISHOP MEDICAL TEACHING & RESEARCH BUILDIN,On Campus,CLOSED
30,2024-02-05 07:45,24-02-05-039088,2400564,BURGLARY,Burglary - Commercial,BURGLARY,Burglary - Commercial,BURGLARY,Burglary - Commercial,2024-02-02 16:30,2024-02-02 16:35,3400 Block Of  GRAND AV,Non-campus building or property,Open
31,2024-02-05 04:20,24-02-05-039009,,,,FIRE,Fire-Trash,FIRE,Fire-Trash,2024-02-05 04:20,2024-02-05 04:20,30TH ST & SHRINE PL,Non-reportable location,LAFD RESPONDING & WILL HANDLE
32,2024-02-05 03:48,24-02-05-038985,2400563,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2024-02-05 03:48,2024-02-05 03:48,WAITE PHILLIPS HALL OF EDUCATION,On Campus,CLOSED
33,2024-02-05 02:21,24-02-05-038915,2400562,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2024-02-05 02:21,2024-02-05 02:21,EDWARD L. DOHENY JR. MEMORIAL LIBRARY,On Campus,CLOSED
34,2024-02-04 23:56,24-02-04-038800,2400559,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2024-02-04 23:56,2024-02-04 23:56,PHYSICAL EDUCATION BUILDING,On Campus,CLOSED
35,2024-02-04 22:42,24-02-04-038714,2400560,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2024-02-04 19:39,2024-02-04 19:39,GWYNN WILSON STUDENT UNION,On Campus,CLOSED
36,2024-02-04 22:24,24-02-04-038695,2400557,FIRE,Alarm Smoke,FIRE,Alarm Smoke,FIRE,Alarm Smoke,2024-02-04 22:22,2024-02-04 22:23,GWYNN WILSON STUDENT UNION,On Campus,CLOSED
37,2024-02-04 22:11,24-02-04-038674,2400556,FIRE,Alarm Activation,FIRE,Alarm Activation,FIRE,Alarm Activation,2024-02-04 22:11,2024-02-04 22:11,MAY ORMEROD HARRIS HALL QUINN WING & FISHER GALLER,On Campus,CLOSED
38,2024-02-04 21:50,24-02-04-038644,2400555,SERVICE,Injury Response,SERVICE,Injury Response,SERVICE,Injury Response,2024-02-04 21:50,2024-02-04 21:50,GENERAL WILLIAM LYON UNIVERSITY CENTER,On Campus,CLOSED
39,2024-02-04 21:47,24-02-04-038636,2400558,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2024-02-04 21:47,2024-02-04 21:47,DONALD P. & KATHERINE B. LOKER HYDROCARBON INSTITU,On Campus,CLOSED
40,2024-02-04 21:24,24-02-04-038609,2400553,FIRE,Alarm Smoke,FIRE,Alarm Smoke,FIRE,Alarm Smoke,2024-02-04 21:24,2024-02-04 21:24,GEORGE FINLEY BOVARD ADMINISTRATION BUILDING,On Campus,Inactive Investigation
41,2024-02-04 18:52,24-02-04-038499,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-02-04 18:52,2024-02-04 18:52,FLOWER STREET STRUCTURE,On Campus,ADVISED & COMPLIED
42,2024-02-04 18:41,24-02-04-038496,2400561,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2024-02-04 18:41,2024-02-04 18:41,UPC PUBLIC SAFETY OFFICE,On Campus,CLOSED
43,2024-02-04 18:26,24-02-04-038486,2400552,PROPERTY,Damaged Property,BURGLARY,Burglary - Residential,PROPERTY,Damaged Property,2024-02-03 00:00,2024-02-04 16:00,COLLEGE RESIDENCE HALL,On Campus Residential Facility,Inactive Investigation
44,2024-02-04 17:49,24-02-04-038470,2400554,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,MOTOR VEHICLE THEFT,Grand Theft Auto,2024-02-01 15:15,2024-02-04 15:30,28TH ST & UNIVERSITY AV,Non-reportable location,Inactive Investigation
45,2024-02-04 14:56,24-02-04-038332,2400551,BATTERY,Battery,INCIDENT,Dispute,BATTERY,Battery,2024-02-04 14:56,2024-02-04 14:56,900 Block Of  23RD ST,Non-reportable location,Inactive Investigation
46,2024-02-04 12:00,24-02-04-038181,2400550,PROPERTY,Damaged Property,PROPERTY,Damaged Property,PROPERTY,Damaged Property,2024-02-04 12:00,2024-02-04 12:00,UPC PUBLIC SAFETY OFFICE,On Campus,CLOSED
47,2024-02-04 10:23,24-02-04-038128,,,,DISORDERLY CONDUCT,"Prowling, Loitering",OFFICER STATUS,Notification,2024-02-04 10:23,2024-02-04 10:23,2600 Block Of  PORTLAND ST,Non-campus building or property,NO CRIME OCCURRED; NO REPORT TAKEN
48,2024-02-04 07:44,24-02-04-038022,2400549,PROPERTY,Damaged Property,PROPERTY,Damaged Property,PROPERTY,Damaged Property,2024-02-04 07:44,2024-02-04 07:44,UPC PUBLIC SAFETY OFFICE,On Campus,CLOSED
49,2024-02-04 05:27,24-02-04-037943,2400548,BURGLARY,Burglary - Attempted-Residential,BURGLARY,Burglary-Hot Prowl,BURGLARY,Burglary - Attempted-Residential,2024-02-04 05:20,2024-02-04 05:20,1200 Block Of  30TH ST,Non-reportable location,Inactive Investigation
50,2024-02-04 02:37,24-02-04-037877,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-04 02:37,2024-02-04 02:37,1100 Block Of  37TH PL,Non-reportable location,ADVISED & COMPLIED
51,2024-02-04 02:13,24-02-04-037870,2400547,VANDALISM,Vandalism,PROPERTY,Damaged Property,VANDALISM,Vandalism,2024-02-04 02:13,2024-02-04 02:13,UNIVERSITY RESIDENCE HALL,On Campus Residential Facility,Inactive Investigation
52,2024-02-04 02:03,24-02-04-037863,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-04 02:03,2024-02-04 02:03,900 Block Of  28TH ST,Non-reportable location,ADVISED & COMPLIED
53,2024-02-04 02:00,24-02-04-037865,2400546,SERVICE,Incident Report - No Crime,SEX OFFENSE,Assault With Intent to Commit Sex Offense,SERVICE,Incident Report - No Crime,2024-02-04 00:00,2024-02-04 01:45,WEBB TOWER,On Campus Residential Facility,Inactive Investigation
54,2024-02-04 01:43,24-02-04-037848,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-04 01:43,2024-02-04 01:43,1100 Block Of  37TH ST,Non-reportable location,REQUEST COMPLETED
55,2024-02-04 01:03,24-02-04-037822,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-04 01:03,2024-02-04 01:03,1200 Block Of  30TH ST,Non-reportable location,UNABLE TO LOCATE - GONE ON ARRIVAL
56,2024-02-04 00:48,24-02-04-037809,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-04 00:48,2024-02-04 00:48,2700 Block Of  PORTLAND ST,Non-campus building or property,ADVISED & COMPLIED
57,2024-02-04 00:30,24-02-04-037796,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-04 00:30,2024-02-04 00:30,1100 Block Of  30TH ST,Non-reportable location,REQUEST COMPLETED
58,2024-02-04 00:28,24-02-04-037791,2400545,SERVICE,Welfare Check,ALCOHOL,Alcohol Overdose,SERVICE,Welfare Check,2024-02-03 23:00,2024-02-04 00:23,UNIVERSITY GATEWAY APARTMENTS,On Campus Residential Facility,CLOSED
59,2024-02-04 00:24,24-02-04-037794,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-04 00:24,2024-02-04 00:24,1100 Block Of  ADAMS BL,Non-reportable location,ADVISED & COMPLIED
60,2024-02-04 00:13,24-02-04-037788,2400543,SERVICE,Incident Report - No Crime,DISTURBANCE,Disturbing The Peace,SERVICE,Incident Report - No Crime,2024-02-04 00:13,2024-02-04 00:13,28TH ST & PORTLAND ST,Non-reportable location,Inactive Investigation
61,2024-02-03 23:57,24-02-03-037778,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-03 23:57,2024-02-03 23:57,1100 Block Of  37TH PL,Non-reportable location,ADVISED & COMPLIED
62,2024-02-03 23:50,24-02-03-037774,2400544,SERVICE,Party/Event Shut Down,LA MUNICIPAL CODE,Loud and Raucous Noise,SERVICE,Party/Event Shut Down,2024-02-03 23:00,2024-02-03 23:00,600 Block Of  28TH ST,Non-reportable location,Inactive Investigation
63,2024-02-03 23:46,24-02-03-037771,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-02-03 23:46,2024-02-03 23:46,1300 Block Of  35TH PL,Non-reportable location,REQUEST COMPLETED
64,2024-02-03 21:32,24-02-03-037646,2400542,PROPERTY,Damaged Property,PROPERTY,Damaged Property,PROPERTY,Damaged Property,2024-02-03 21:30,2024-02-03 21:30,700 Block Of  30TH ST,Non-campus building or property,Inactive Investigation
65,2024-02-03 18:41,24-02-03-037504,2400541,SERVICE,Illness Response,OFFICER STATUS,Notification,SERVICE,Illness Response,2024-02-03 18:41,2024-02-03 18:41,PARKSIDE APARTMENTS I,On Campus Residential Facility,CLOSED
66,2024-02-03 18:05,24-02-03-037478,,,,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,LA MUNICIPAL CODE,Playing Game or Sport on Sidewalk,2024-02-03 18:05,2024-02-03 18:05,ROYAL STREET STRUCTURE,On Campus,ADVISED & COMPLIED
67,2024-02-03 18:01,24-02-03-037477,2400540,SERVICE,Injury Response,SERVICE,Injury Response,SERVICE,Injury Response,2024-02-03 16:00,2024-02-03 16:00,GALEN EVENT CENTER,On Campus,CLOSED
68,2024-02-03 17:26,24-02-03-037448,,,,DISORDERLY CONDUCT,"Prowling, Loitering",DISORDERLY CONDUCT,"Prowling, Loitering",2024-02-03 17:26,2024-02-03 17:26,KECK HOSPITAL PARKING BLDG.,On Campus,REQUEST COMPLETED
69,2024-02-03 17:11,24-02-03-037399,2400539,THEFT-TRICK,Theft-Trick or Device,THEFT-TRICK,Theft-Trick or Device,THEFT-TRICK,Theft-Trick or Device,2024-02-03 08:23,2024-02-03 15:00,2300 Block Of  PORTLAND ST,Non-reportable location,Inactive Investigation
70,2024-02-03 16:44,24-02-03-037415,2400538,THEFT-PETTY,Theft Petty - Plain-Attempt,ADMINISTRATIVE,Camera Observation,THEFT-PETTY,Theft Petty - Plain-Attempt,2024-02-03 16:40,2024-02-03 16:40,34TH ST & WATT WY,On Campus,Inactive Investigation
71,2024-02-03 15:32,24-02-03-037379,2400537,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,MOTOR VEHICLE THEFT,Theft of Motorized Bicycle/Scooter/Skateboard,2024-02-02 13:00,2024-02-03 11:00,WALLIS ANNENBERG HALL,On Campus,Inactive Investigation
72,2024-02-03 15:29,24-02-03-037384,2400535,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,SERVICE,Incident Report - No Crime,2024-02-03 15:15,2024-02-03 15:20,USC FITNESS CENTER,On Campus,Inactive Investigation
73,2024-02-03 15:10,24-02-03-037361,2400536,PROPERTY,Damaged Property,SERVICE,Maintenance Request (Non-Lighting),PROPERTY,Damaged Property,2024-02-03 14:55,2024-02-03 14:55,MCCLINTOCK APARTMENTS BUILDING TWO,On Campus Residential Facility,Inactive Investigation
74,2024-02-03 14:33,24-02-03-037323,2400532,SERVICE,Welfare Check,SERVICE,Welfare Check,SERVICE,Welfare Check,2024-02-03 12:32,2024-02-03 12:32,1300 Block Of  29TH ST,Non-reportable location,CLOSED
75,2024-02-03 14:11,24-02-03-037304,2400533,SERVICE,Injury Response,SERVICE,Injury Response,SERVICE,Injury Response,2024-02-02 22:30,2024-02-03 02:00,3800 Block Of  FIGUEROA ST,Non-reportable location,CLOSED
76,2024-02-03 14:00,24-02-03-037298,2400534,SERVICE,Injury Response,SERVICE,Injury Response,SERVICE,Injury Response,2024-02-03 14:00,2024-02-03 14:00,GENERAL WILLIAM LYON UNIVERSITY CENTER,On Campus,CLOSED
77,2024-02-03 13:46,24-02-03-037291,2400529,THEFT-PETTY,Theft Petty - Plain,PROPERTY,Lost/Missing Property,THEFT-PETTY,Theft Petty - Plain,2024-02-02 14:01,2024-02-02 14:01,RONALD TUTOR CAMPUS CENTER,On Campus,Open
78,2024-02-03 13:32,24-02-03-037272,,,,DISORDERLY CONDUCT,Animal Cruelty,DISORDERLY CONDUCT,Animal Cruelty,2024-02-03 13:32,2024-02-03 13:32,DOWNEY WY & WATT WY,On Campus,UNABLE TO LOCATE - GONE ON ARRIVAL
79,2024-02-03 12:58,24-02-03-037243,2400530,SERVICE,Welfare Check,SERVICE,Welfare Check,SERVICE,Welfare Check,2024-02-03 12:58,2024-02-03 12:58,COLLEGE RESIDENCE HALL,On Campus Residential Facility,CLOSED
80,2024-02-03 12:45,24-02-03-037231,2400528,SERVICE,Injury Response,SERVICE,Injury Response,SERVICE,Injury Response,2024-02-03 12:45,2024-02-03 12:45,SHELLY & OFER NEMIROVSKY AND DAVID C. BOHNETT RESIDENTIAL COLLEGE,On Campus Residential Facility,CLOSED
81,2024-02-03 12:43,24-02-03-037230,2400527,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,THEFT-PETTY,Theft Petty - Plain,2024-02-01 02:00,2024-02-02 07:30,700 Block Of  28TH ST,Non-reportable location,Inactive Investigation
82,2024-02-03 12:32,24-02-03-037227,2400531,INCIDENT,Dispute,INCIDENT,Dispute,INCIDENT,Dispute,2024-01-28 20:30,2024-02-03 12:32,700 Block Of  27TH ST,Non-reportable location,Inactive Investigation
83,2024-02-03 11:19,24-02-03-037169,2400526,PROPERTY,Damaged Property,PROPERTY,Damaged Property,PROPERTY,Damaged Property,2024-02-03 11:19,2024-02-03 11:19,TOWN & GOWN,On Campus,Inactive Investigation
84,2024-02-03 09:01,24-02-03-037077,2400525,EH&S,"Smell of Smoke, Odor, Non-Fire",EH&S,"Smell of Smoke, Odor, Non-Fire",EH&S,"Smell of Smoke, Odor, Non-Fire",2024-02-03 09:01,2024-02-03 09:01,SOCIAL SCIENCES BUILDING,On Campus,CLOSED
85,2024-02-03 01:42,24-02-03-036784,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-03 01:42,2024-02-03 01:42,28TH ST & UNIVERSITY AV,Non-reportable location,ADVISED & COMPLIED
86,2024-02-03 01:28,24-02-03-036771,2400523,SERVICE,Welfare Check,ALCOHOL,Alcohol Overdose,SERVICE,Welfare Check,2024-02-03 01:22,2024-02-03 01:27,500 Block Of  27TH ST,Non-reportable location,CLOSED
87,2024-02-03 01:16,24-02-03-036767,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-03 01:16,2024-02-03 01:16,2800 Block Of  MENLO AV,Non-reportable location,RESOLVED UPON ARRIVAL
88,2024-02-03 01:14,24-02-03-036765,2400524,EH&S,"Smell of Smoke, Odor, Non-Fire",EH&S,"Smell of Smoke, Odor, Non-Fire",EH&S,"Smell of Smoke, Odor, Non-Fire",2024-02-03 01:14,2024-02-03 01:14,SCHOOL OF CINEMATIC ARTS- BLDG. B,On Campus,CLOSED
89,2024-02-03 01:06,24-02-03-036755,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-03 01:06,2024-02-03 01:06,23RD ST & BONSALLO AV,Non-reportable location,ADVISED & COMPLIED
90,2024-02-03 00:54,24-02-03-036749,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-03 00:54,2024-02-03 00:54,1200 Block Of  ADAMS BL,Non-reportable location,ADVISED & COMPLIED
91,2024-02-03 00:53,24-02-03-036751,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-03 00:53,2024-02-03 00:53,600 Block Of  30TH ST,Non-reportable location,REQUEST COMPLETED
92,2024-02-03 00:46,24-02-03-036744,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-03 00:46,2024-02-03 00:46,2600 Block Of  MENLO AV,Non-reportable location,RESOLVED UPON ARRIVAL
93,2024-02-02 23:31,24-02-02-036704,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-02 23:31,2024-02-02 23:31,2700 Block Of  MENLO AV,Non-reportable location,CANCELLED EVENT
94,2024-02-02 23:30,24-02-02-036703,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-02 23:30,2024-02-02 23:30,2800 Block Of  MENLO AV,Non-reportable location,ADVISED & COMPLIED
95,2024-02-02 23:28,24-02-02-036702,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-02 23:28,2024-02-02 23:28,25TH ST & VERMONT AV,Non-reportable location,ADVISED & COMPLIED
96,2024-02-02 23:26,24-02-02-036700,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-02 23:26,2024-02-02 23:26,2700 Block Of  MENLO AV,Non-reportable location,CANCELLED EVENT
97,2024-02-02 23:22,24-02-02-036696,2400522,SERVICE,Party/Event Shut Down,LA MUNICIPAL CODE,Loud and Raucous Noise,SERVICE,Party/Event Shut Down,2024-02-02 23:22,2024-02-02 23:22,700 Block Of  28TH ST,Non-reportable location,CLOSED
98,2024-02-02 22:39,24-02-02-036645,,,,LA MUNICIPAL CODE,Loud and Raucous Noise,LA MUNICIPAL CODE,Loud and Raucous Noise,2024-02-02 22:39,2024-02-02 22:39,2800 Block Of  MENLO AV,Non-reportable location,ADVISED & COMPLIED
99,2024-02-02 20:53,24-02-02-036539,,,,HARASSMENT,Harassment,SERVICE,Incident Report - No Crime,2024-02-02 20:53,2024-02-02 20:53,28TH ST & SEVERANCE ST,Non-reportable location,REQUEST COMPLETED
100,2024-02-02 19:17,24-02-02-036481,2400520,EH&S,Water Leak,EH&S,Water Leak,EH&S,Water Leak,2024-02-02 19:17,2024-02-02 19:17,MAY ORMEROD HARRIS HALL QUINN WING & FISHER GALLER,On Campus,CLOSED
101,2024-02-02 19:00,24-02-02-036442,2400521,THEFT-PETTY,Theft Petty - Plain,PROPERTY,Lost/Missing Property,THEFT-PETTY,Theft Petty - Plain,2024-02-01 15:00,2024-02-02 16:00,2900 Block Of  ORCHARD AV,Non-reportable location,Inactive Investigation
102,2024-02-02 18:18,24-02-02-036447,2400519,MOTOR VEHICLE THEFT,Theft of Motorized Golf/Utility Cart,PROPERTY,Damaged Property,MOTOR VEHICLE THEFT,Theft of Motorized Golf/Utility Cart,2024-02-02 18:15,2024-02-02 18:15,EILEEN L. NORRIS CINEMA THEATRE,On Campus,Inactive Investigation
